1.) Ford's Battery Flagship Socked by Mold Sickness, Workers Say (labornotes.org), https://labornotes.org/2024/02/fords-battery-flagship-socked-mold-sickness-workers-say

2.) Show HN: 5 Years Ago I made the Recovery Kit, I just made the RK2 (doscher.com), https://www.doscher.com/recovery-kit-version-2/

3.) I'm Peter Roberts, immigration attorney who does work for YC and startups. AMA, https://news.ycombinator.com/item?id=40014087

4.) Hacked Nvidia 4090 GPU driver to enable P2P (github.com/tinygrad), https://github.com/tinygrad/open-gpu-kernel-modules

5.) Show HN: A JavaScript library for data visualization in both SVG and Canvas (github.com/andrewcourtice), https://github.com/andrewcourtice/ripl

6.) What is Webb observing now? (spacetelescopelive.org), https://spacetelescopelive.org/webb?obsId=01HTJT20C0STKNZ01KQYGEKBQ1

7.) Thereâ€™s a 30-year old dead Rabbit in Seven Sisters tube station (ianvisits.co.uk), https://www.ianvisits.co.uk/articles/theres-a-dead-rabbit-in-seven-sisters-tube-station-71502/

8.) What Orwell Feared (theatlantic.com), https://www.theatlantic.com/magazine/archive/2024/05/george-orwell-1984-isle-of-jura/677843/

9.) Using Google Sheets as the back end/APIs of your app (zerosheets.com), https://www.zerosheets.com/

10.) An open source initiative to share and compare heat pump performance data (heatpumpmonitor.org), https://heatpumpmonitor.org/